Partner,Clicks,Actions,Revenue,Action Cost,Total Cost,CPC
Capital One,177,42,14720.5900,1472.0800,1472.0800,8.31683616
S. N. TECHNOLOGIES,270,12,2752.4300,137.6200,137.6200,0.50970370
Sovrn Commerce,157,6,1112.9900,55.6500,55.6500,0.35445860
Honey Science Corporation.,25,2,522.2000,26.1100,26.1100,1.04440000
Skimbit Ltd.,73,2,285.9200,14.3000,14.3000,0.19589041
Muchila Holdings Ltd.,45,2,207.7500,10.3900,10.3900,0.23088889
Famesta,16,1,94.0000,4.7000,4.7000,0.29375000
commissionzen,22,0,0.0000,0.0000,0.0000,0.00000000
FatCoupon Technology Ltd,9,0,0.0000,0.0000,0.0000,0.00000000
tenereno1,9,0,0.0000,0.0000,0.0000,0.00000000
Discountsarena LTD,3,0,0.0000,0.0000,0.0000,0.00000000
Mylifecation,3,0,0.0000,0.0000,0.0000,0.00000000
STELLIO LTD,3,0,0.0000,0.0000,0.0000,0.00000000
shoneright.com,2,0,0.0000,0.0000,0.0000,0.00000000
Greecoo LTD,2,0,0.0000,0.0000,0.0000,0.00000000
OCEANSHINY LTD,2,0,0.0000,0.0000,0.0000,0.00000000
EDLOOK LTD,2,0,0.0000,0.0000,0.0000,0.00000000
Brandreward  Coupons,1,0,0.0000,0.0000,0.0000,0.00000000
Coupon Reals,1,0,0.0000,0.0000,0.0000,0.00000000
Refermate LLC,1,0,0.0000,0.0000,0.0000,0.00000000
Buymedeal,1,0,0.0000,0.0000,0.0000,0.00000000
Qurat ul Ain Abbas,1,0,0.0000,0.0000,0.0000,0.00000000
OCEANSHINY LTD,1,0,0.0000,0.0000,0.0000,0.00000000
CouponCabin,0,0,0.0000,0.0000,0.0000,0
Extrabux,0,0,0.0000,0.0000,0.0000,0
Digmycart Ltd,0,0,0.0000,0.0000,0.0000,0
advanced store,0,0,0.0000,0.0000,0.0000,0
DWClick,0,0,0.0000,0.0000,0.0000,0
quk.com,0,0,0.0000,0.0000,0.0000,0
