Partner,Clicks,Actions,Revenue,Action Cost,Total Cost,CPC
Capital One,182,30,11113.2600,1111.3300,1111.3300,6.10620879
S. N. TECHNOLOGIES,326,8,1189.8100,59.4900,59.4900,0.18248466
Skimbit Ltd.,79,4,943.2000,47.1600,47.1600,0.59696203
Sovrn Commerce,289,4,478.4600,23.9300,23.9300,0.08280277
Honey Science Corporation.,18,1,119.9600,6.0000,6.0000,0.33333333
Muchila Holdings Ltd.,67,1,109.0000,5.4500,5.4500,0.08134328
tenereno1,6,1,75.6000,3.7800,3.7800,0.63000000
Famesta,13,0,0.0000,0.0000,0.0000,0.00000000
shoneright.com,11,0,0.0000,0.0000,0.0000,0.00000000
TryCoupon,10,0,0.0000,0.0000,0.0000,0.00000000
FatCoupon Technology Ltd,9,0,0.0000,0.0000,0.0000,0.00000000
Discountsarena LTD,6,0,0.0000,0.0000,0.0000,0.00000000
FMTC,6,0,0.0000,0.0000,0.0000,0.00000000
Brandreward  Coupons,5,0,0.0000,0.0000,0.0000,0.00000000
Buymedeal,4,0,0.0000,0.0000,0.0000,0.00000000
Mavely,3,0,0.0000,0.0000,0.0000,0.00000000
advanced store,3,0,0.0000,0.0000,0.0000,0.00000000
Karma Shopping,2,0,0.0000,0.0000,0.0000,0.00000000
SQUARED GmbH,2,0,0.0000,0.0000,0.0000,0.00000000
Coupon Reals,1,0,0.0000,0.0000,0.0000,0.00000000
STELLIO LTD,1,0,0.0000,0.0000,0.0000,0.00000000
OCEANSHINY LTD,1,0,0.0000,0.0000,0.0000,0.00000000
SaleGains,1,0,0.0000,0.0000,0.0000,0.00000000
Mimoni,1,0,0.0000,0.0000,0.0000,0.00000000
Qurat ul Ain Abbas,1,0,0.0000,0.0000,0.0000,0.00000000
EDLOOK LTD,1,0,0.0000,0.0000,0.0000,0.00000000
EDLOOK,1,0,0.0000,0.0000,0.0000,0.00000000
CouponCabin,0,0,0.0000,0.0000,0.0000,0
Extrabux,0,0,0.0000,0.0000,0.0000,0
SCAN AND GO LIMITED,0,0,0.0000,0.0000,0.0000,0
OCEANSHINY LTD,0,0,0.0000,0.0000,0.0000,0
